gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000169490	TM2D2	1459	1508.001	2964	2243.998	1267.001	2091	1998	2009.999
ENSG00000169495	HTRA4	6	29	13	4	0	0	35	21
ENSG00000169499	PLEKHA2	10833	11471	241	185	1948	2363	1410	1379
ENSG00000169504	CLIC4	11918	9100.997	20780.997	13773.999	6445	9190	16750.996	15522.999
ENSG00000169507	SLC38A11	0	0	0	0	0	0	88	76.999
ENSG00000169508	GPR183	9829	8395	0	0	169	154	0	0
ENSG00000169509	CRCT1	0	0	0	0	0	0	2	2
ENSG00000169515	CCDC8	7	14	1070	1230	2904	3574	1	0
ENSG00000169519	METTL15	1150.438	1044.823	974.914	498.911	1539.587	1430.414	921.959	940.848
ENSG00000169548	ZNF280A	0	0	12	8.026	1992.648	2396	17	15
ENSG00000169550	MUC15	4	0	0	0	77	113	10	7
ENSG00000169551	CT55	0	0	12	8	5131	5857	4	0
ENSG00000169554	ZEB2	141	149	56.001	39	7786	11374	8	6
ENSG00000169562	GJB1	2	0	12	5	0	0	0	0
ENSG00000169564	PCBP1	16641	20648	28554	28034	14608	19596	11172	12045
ENSG00000169567	HINT1	16758.999	17504.999	22908.001	11091.999	24969.999	26282	24313	24810.001
ENSG00000169570	DTWD2	664	470.999	815	723	392	622.999	1502	1296
ENSG00000169575	VPREB1	0	0	0	0	0	0	0	0
ENSG00000169583	CLIC3	2	10	6	17	1	8	768	2392.001
ENSG00000169592	INO80E	4027.999	4974.001	2404.001	2905.999	2665	3472.001	2586.999	3564
ENSG00000169594	BNC1	0	0	664	131	0	0	112	75
ENSG00000169598	DFFB	1250	1195.999	1470.001	1043	2265	2098	713	849
ENSG00000169599	NFU1	1769.002	1553.001	1560.999	1050	2076.001	2363.001	1903	2318.001
ENSG00000169604	ANTXR1	0	0	4664.001	2884	51	81	5934	4597
ENSG00000169605	GKN1	0	0	0	0	0	0	1	0
ENSG00000169607	CKAP2L	3026	2302	738	406	2172	3238.001	2459.999	2506
ENSG00000169609	C15orf40	1038	1188	481	458	1185.999	1561	1236.998	1409
ENSG00000169612	FAM103A1	2145.729	2310.928	1854	889	2693.734	2773.488	3072	3007.431
ENSG00000169618	PROKR1	0	0	559	663	0	0	8	17
ENSG00000169621	APLF	223	197	280	218	72	103	292	144
ENSG00000169627	BOLA2B	979.161	2699.289	6849.383	7354.945	3456.62	6221.864	2619.047	4035.923
ENSG00000169629	RGPD8	1268.88	1022.611	172.748	159.662	28.975	12.388	1418.643	1254.056
ENSG00000169635	HIC2	948.504	1043.999	3864.433	4927.413	12927.583	16698.357	389	394
ENSG00000169641	LUZP1	4068.999	4157	7551.999	5777.999	2238	3255	4346.994	3878
ENSG00000169660	HEXDC	1124.001	1334.001	2098.999	2537.999	964	1373.999	1173.999	1414.001
ENSG00000169662	BCRP6	0	0	0	0	0	0	0	0
ENSG00000169668	BCRP2	86.816	86.391	326.614	257.403	41.461	55.532	29.757	40.038
ENSG00000169676	DRD5	0	1	30	36	0	0	1	0
ENSG00000169679	BUB1	11605.999	8981	10031.999	6607.999	11969.001	15257.001	9964.999	8593.998
ENSG00000169682	SPNS1	1642.377	1834.234	8499.191	13555.1	2477.784	4043.03	2374.301	3332.363
ENSG00000169683	LRRC45	2012.999	2276	1719.001	2266	1706	1749	1234	2117
ENSG00000169684	CHRNA5	1162	877	1306	568.001	710	1046	2833	2649
ENSG00000169688	MT1B	0	0	0	0	0	0	0	0
ENSG00000169689	STRA13	2991.001	3100	4119	3725.998	9428	10663.999	2043.999	3264
ENSG00000169692	AGPAT2	1595	1670	3399	3841	3396.001	3818	2125.001	2641.001
ENSG00000169696	ASPSCR1	2996.001	3509	2820	3984.998	1854.999	2270	836	1596.001
ENSG00000169704	GP9	5	0	1	0	0	0	0	0
ENSG00000169710	FASN	20832.001	28259	31509	51894	36675	44509.001	16889	28948
ENSG00000169714	CNBP	26563.001	24690	27686	16788.001	25349.999	32971	39121	42979
ENSG00000169715	MT1E	354.999	371	1525.072	1381.977	0	21	0	0
ENSG00000169717	ACTRT2	0	0	0	0	0	0	0	0
ENSG00000169718	DUS1L	8654.999	9390.001	3493.002	5352.001	10861.998	12898.998	5392.999	8529
ENSG00000169727	GPS1	7793.998	9375.999	27818	30374.999	8084.001	10428.999	4948	7775
ENSG00000169733	RFNG	1541.001	1808.999	2990	4388	2245.001	2945	708	1004
ENSG00000169738	DCXR	3912	4719.999	6358.001	7020	6528	8426	2107.999	3087.002
ENSG00000169740	ZNF32	81	140	958.999	340	1158	1513	1746	1844
ENSG00000169744	LDB2	0	2	6956	3355.998	0	0	0	5
ENSG00000169750	RAC3	1190	1371.001	13592	19771.001	9328	10757.999	459	824
ENSG00000169752	NRG4	268.999	244.999	12	4	56	36	12	7
ENSG00000169756	LIMS1	4904.918	4577.138	2811.852	2017.923	7680.572	10347.923	5285.058	4964.042
ENSG00000169758	C15orf27	73	67	364	316	0	0	2	5
ENSG00000169760	NLGN1	0	0	1305.999	603	0	0	3	0
ENSG00000169762	TAPT1	895	940	565.999	284	1805.999	1751	2421	2370
ENSG00000169763	PRYP3	0	0	0	0	0	0	0	0
ENSG00000169764	UGP2	4152.999	3340	28942	11293.002	3743.999	4863.999	8334.999	7581.998
ENSG00000169777	TAS2R1	0	0	2	0	0	0	1	0
ENSG00000169783	LINGO1	5	7	12259	16539	899	1340	156	232.001
ENSG00000169789	PRY	0	0	0	0	0	0	0	0
ENSG00000169800	RBMY1F	0	0	0	0	0	0	0	0
ENSG00000169807	PRY2	0	0	0	0	0	0	0	0
ENSG00000169811	RBMY1HP	0	0	0	0	0	0	0	0
ENSG00000169813	HNRNPF	33270.001	33599.001	28762	24409.001	39953	52087	34263	38439.999
ENSG00000169814	BTD	274	266	1990	1584	419	519.999	800.001	1354.001
ENSG00000169826	CSGALNACT2	1769	1301	620	375	802	1101	2064	2292
ENSG00000169836	TACR3	0	0	105	63	0	0	41	40
ENSG00000169840	GSX1	0	0	0	7	0	0	0	0
ENSG00000169849	TSPY14P	0	0	0	0	0	0	0	0
ENSG00000169851	PCDH7	1	0	1009	1185	0	0	423.001	645
ENSG00000169855	ROBO1	288	280	20208	13733	0	0	8421	9241
ENSG00000169856	ONECUT1	0	0	41	23	0	0	15	22
ENSG00000169857	AVEN	701	686	512	300	206	357	822	870
ENSG00000169860	P2RY1	440	378	2099	2389	3032	3771	78	72
ENSG00000169861	IGHV1OR21-1	0	0	0	0	0	0	0	0
ENSG00000169862	CTNND2	0	7	1275.001	1311	0	0	3266	3248.001
ENSG00000169871	TRIM56	3121	3892	420	806	1856	2538	941	1125
ENSG00000169876	MUC17	2	0	9	7	0	0	12	11
ENSG00000169877	AHSP	0	2	238	68	408	490	0	0
ENSG00000169884	WNT10B	77	71	253	164	165	97	41	54
ENSG00000169885	CALML6	2	10	47	90	11	0	103	88.001
ENSG00000169891	REPS2	906	835	432	419	0	5	1439	1476.001
ENSG00000169894	MUC3A	0	0	1646	2559.644	27	16	148	95
ENSG00000169895	SYAP1	4448	4465	1169	940	7166	9679	10407	9746
ENSG00000169896	ITGAM	2107	2365.001	468	294	50	110	382.999	264
ENSG00000169900	PYDC1	0	0	267	200	0	0	2	4
ENSG00000169902	TPST1	477	478	882	757.001	74	64	1102	1358.001
ENSG00000169903	TM4SF4	0	0	0	0	0	0	4	0
ENSG00000169905	TOR1AIP2	3145.257	3089.001	3933.025	2749	8422.798	9083.037	6699.389	6107.226
ENSG00000169906	S100G	0	0	0	0	0	0	0	0
ENSG00000169908	TM4SF1	0	0	146	82	0	3	24	25
ENSG00000169914	OTUD3	2131	1657	2843	1797	3367	4039	3588	3360
ENSG00000169918	OTUD7A	12	1	205.691	266.508	6.136	7	58.429	125.389
ENSG00000169919	GUSB	3477.001	3922.001	5920	6548.999	5443	8017	4727	7620.999
ENSG00000169925	BRD3	1831	1965	6389.001	5535.999	2247	3017	5522	5324.999
ENSG00000169926	KLF13	12848	14100	4786	5349	950	1193	894	919
ENSG00000169933	FRMPD4	0	0	12	29	0	0	0	0
ENSG00000169946	ZFPM2	0	0	48	16	1364	1782	1	0
ENSG00000169951	ZNF764	1147	1050	966.451	1176.135	1029	1107	854.267	811.964
ENSG00000169953	HSFY2	0	0	0	0	0	0	0	0
ENSG00000169955	ZNF747	1854.001	1761	2258.041	2027.865	322	581	774.733	951.036
ENSG00000169957	ZNF768	2330	2405	5942	6609	4770	5754	2810	3902
ENSG00000169962	TAS1R3	30	64	7	30	3	26	12	13
ENSG00000169964	TMEM42	957	1012	2614	2348	76	122	782	717
ENSG00000169967	MAP3K2	3264	3013	858	501	1389	1754	8332.999	7260
ENSG00000169972	PUSL1	1179	1397.001	6103	6256	2958.001	4025.999	486	820
ENSG00000169976	SF3B5	8879	9947	15791	15504	12934	14793	4100	4599
ENSG00000169981	ZNF35	985	763.999	457	229	630	837.999	543	516.001
ENSG00000169989	TIGD4	57	59	68	31	24	35	32	12
ENSG00000169991	IFFO2	2404	2836	738.967	857.033	118	132	1717	1567.557
ENSG00000169992	NLGN2	92	94	6772.999	11985	890	1099	2401	2522
ENSG00000169994	MYO7B	501	578	1	6	0	0	4	3
ENSG00000170004	CHD3	11259.999	12801	2259.001	2600	5132.001	6284.001	22314.001	21374.998
ENSG00000170006	TMEM154	6237	5252	241	146	309	204	1539	1424
ENSG00000170011	MYRIP	2	0	173	174	0	0	22	55
ENSG00000170017	ALCAM	4607.001	3962	3275.001	2054	0	8	16467.001	17262
ENSG00000170027	YWHAG	11002	11816	16189	14328	13546	19716	19879	19513
ENSG00000170035	UBE2E3	1441.999	989.972	6901.887	3076.942	4266.999	4350	6369.47	5010.671
ENSG00000170037	CNTROB	3411.999	3504.999	2754.001	3592	2961.999	4582.001	3729	5274.001
ENSG00000170043	TRAPPC1	4242.999	4576.002	6091.999	6026.999	1049	1606.999	3528	4496.999
ENSG00000170044	ZPLD1	0	4	2	1	0	8	206	73
ENSG00000170049	KCNAB3	436.001	367.001	175.999	218	92	143.999	283	359.999
ENSG00000170054	SERPINA9	0	0	0	0	0	0	1	0
ENSG00000170074	FAM153A	0	0	1	4	0	0	2.099	1.257
ENSG00000170075	GPR37L1	0	4	100	106	0	0	1188	1317
ENSG00000170085	SIMC1	934	969.03	1929.308	1592.351	1234	1644	1906.61	1977.56
ENSG00000170088	TMEM192	1734.001	1636	1075.476	717	2189.999	2820	3344	3334
ENSG00000170089	RP11-423H2.1	1149.981	894.631	3614.785	1907.988	3436.811	3819.435	7899.259	8872.239
ENSG00000170091	NSG2	0	0	73	47	0	0	7	8
ENSG00000170092	AC018720.10	0	0	0	0	0	0	2	4
ENSG00000170099	SERPINA6	0	0	0	0	0	0	2	2
ENSG00000170100	ZNF778	333	364.999	625	530.001	564	703	2802.999	3265.001
ENSG00000170113	NIPA1	6382	5474	2634	1641.999	3273	4433	4613	4692
ENSG00000170122	FOXD4	26	8.603	6	10	129.773	79.984	30.838	34.425
ENSG00000170128	GPR25	0	0	0	1	0	0	1	0
ENSG00000170142	UBE2E1	11322.001	9344.999	8332.999	3669	8672.001	10624.999	9634.999	8139
ENSG00000170144	HNRNPA3	36386.48	34031.161	14281.982	8498.867	44612.352	64511.508	57422.364	57080.221
ENSG00000170145	SIK2	1977	2006	2586	2245	1419	1778	2563	2680
ENSG00000170152	RP11-374M1.7	0	0	0	0	0	0	0	0
ENSG00000170153	RNF150	5	2	1302	778	0	0	1385	1771
ENSG00000170160	CCDC144A	256.411	275.2	204.528	162.173	63.17	112.414	202.835	78.011
ENSG00000170161	RP11-262H14.4	410.277	519.928	440.658	518.638	9	3	579.43	699.286
ENSG00000170162	VGLL2	0	0	1	10	0	0	0	0
ENSG00000170165	CR848007.2	1.049	4	0	0	0	0	0	0
ENSG00000170166	HOXD4	0	2	0	0	0	0	0	1
ENSG00000170175	CHRNB1	614	576	2587	2549.999	511	494	204.001	261
ENSG00000170178	HOXD12	0	0	0	1	0	0	7	7
ENSG00000170180	GYPA	2	0	1	1	5499	6409.001	0	0
ENSG00000170185	USP38	2621	2172	1076	908	2251	2480	2821	2673
ENSG00000170190	SLC16A5	170.999	244	3713.001	5003	116	167	26	36
ENSG00000170191	NANP	819	803	1039	610	1014	1629	1735	1579
ENSG00000170209	ANKK1	0	6	16	30	0	0	0	2
ENSG00000170214	ADRA1B	0	0	2	4	0	0	8	0
ENSG00000170215	FAM27B	104.595	58.912	0	0	418.839	278.15	0	0
ENSG00000170217	RP11-12A20.2	0	0	0	0	0	0	0	0
ENSG00000170222	ADPRM	388	265	511	258	247	302	369	312.001
ENSG00000170231	FABP6	44	15	122.001	77.001	12	6	28	12
ENSG00000170234	PWWP2A	2026	1973	2942	1778.999	1332	2084.001	2703	2035
ENSG00000170236	USP50	0	0	0	0	2	2	9	6
ENSG00000170242	USP47	5078	4475.999	1351	707.001	5066.999	7534.998	4417	3711.001
ENSG00000170248	PDCD6IP	9269.003	8214	12029.807	8857.998	16419.001	21619	16792.871	16065.958
ENSG00000170255	MRGPRX1	0	0	0	0	0	0	0	0
ENSG00000170260	ZNF212	728	849	1189.477	1353.483	1320	1880.001	1362	1571
ENSG00000170262	MRAP	0	0	1	1	0	0	0	0
ENSG00000170264	FAM161A	1402.002	1194	311	220	85	197	656	491
ENSG00000170265	ZNF282	3106	4051	4196.001	4821	4198	5161	1778	2142
ENSG00000170266	GLB1	2890	2791	9067.999	7140	3247	3913.999	3857.002	5470
ENSG00000170270	C14orf142	1601	1608	236	148	1404	1800	2118	2272
ENSG00000170271	FAXDC2	16	20	595	735	1317	1175	233	222.999
ENSG00000170275	CRTAP	2950	3095	22081.999	18775.999	5098	6445	8734.97	10202
ENSG00000170276	HSPB2	0	0	92	203	2	4	0	0
ENSG00000170279	C7orf33	0	0	0	0	15	0	0	0
ENSG00000170289	CNGB3	0	0	0	1	0	0	240	215
ENSG00000170290	SLN	0	0	1	2	0	0	0	0
ENSG00000170291	ELP5	4057	3801	5419.999	4938	4479	4901	1583	1889.001
ENSG00000170293	CMTM8	1	0	1515	1098	0	0	223	212
ENSG00000170296	GABARAP	5125	4964	18057	9289.999	2956	3154	9601	9331
ENSG00000170298	LGALS9B	36.993	27.017	1.145	0	0	0	0	0
ENSG00000170310	STX8	1405	1162.999	817.001	505.999	432.999	478	979	1090.002
ENSG00000170312	CDK1	7680	6173	3156	1401	15390	19832.999	6882.001	8010.001
ENSG00000170315	UBB	46320.985	55403.999	57414.898	45025.053	43963.173	49493.517	52564.165	46581.258
ENSG00000170322	NFRKB	2442	2718	5092	5175.002	4762	4654	3633	3906
ENSG00000170323	FABP4	0	0	0	0	0	0	0	0
ENSG00000170324	FRMPD2	192	182.653	46	26.466	0	0	47.999	32
ENSG00000170325	PRDM10	1036	1114	2770.001	2594	897	1438	2901.001	2703
ENSG00000170340	B3GNT2	7439	6151	3474	2625	2251	2513	2222	1804
ENSG00000170345	FOS	9	6	4503	4606.001	1079.001	879.999	9150	4847.999
ENSG00000170348	TMED10	8923	7844	20583.001	10893.001	8024	7349.999	36837	38207
ENSG00000170356	OR2A20P	207.59	165.193	0	0	0	0	273.547	110.109
ENSG00000170364	SETMAR	1185	1112.001	1346.999	776.001	1093	1519	1885	1502
ENSG00000170365	SMAD1	945	741	2482.001	1665.001	5	4	1501	1526.001
ENSG00000170367	CST5	0	0	2	0	0	0	4	1
ENSG00000170369	CST2	0	0	2	1	0	0	0	2
ENSG00000170370	EMX2	2	0	3	1	0	0	0	0
ENSG00000170373	CST1	0	0	84	58.994	0	0	0	2
ENSG00000170374	SP7	1	0	21	27	0	0	5	2
ENSG00000170379	FAM115C	450.052	418.763	22.741	20.619	493.352	753.244	326.35	293.544
ENSG00000170381	SEMA3E	95.088	64.493	59	33	1.021	1	1301	630
ENSG00000170382	LRRN2	0	0	338	378.001	0	0	198	256.001
ENSG00000170385	SLC30A1	1140	1212	1705	1220	1239	1475	3015	2864
ENSG00000170390	DCLK2	0	0	77	29	0	0	95	76
ENSG00000170396	ZNF804A	258	164	5	3	159	108	58	97
ENSG00000170409	CTA-313A17.2	0	0	0	0	0	0	0	0
ENSG00000170412	GPRC5C	10	41	4417	3964.999	394	464	888.001	1346
ENSG00000170417	TMEM182	188	180.001	210	132.001	267	322.001	412	386.001
ENSG00000170419	VSTM2A	0	0	83	49	0	0	64.999	46
ENSG00000170421	KRT8	21	28	31108.161	28909.945	25553.256	35821.238	209612.737	353227.675
ENSG00000170423	KRT78	1	7	0	0	0	0	11	11
ENSG00000170425	ADORA2B	4	13	843	639	873	1164	169	163
ENSG00000170426	SDR9C7	3	0	10	2	9	0	6	2
ENSG00000170430	MGMT	1620	1574	1139	1301	6	5	1209	1741
ENSG00000170439	METTL7B	230	188	364	225	29	21	337	408
ENSG00000170442	KRT86	22	11	16	12	0	0	423.354	410.094
ENSG00000170445	HARS	6720.001	6631.999	3266	2766.999	7169.002	8342.002	7856.609	9209.001
ENSG00000170448	NFXL1	1544.999	1415	1770.001	1077	1521.999	2066.999	2841.001	2745.001
ENSG00000170454	KRT75	0	0	0	0	0	0	0	1
ENSG00000170456	DENND5B	4020	3678.001	2090.999	1147.001	374	460	880	671
ENSG00000170458	CD14	12	19	14	21	50	16	16	19
ENSG00000170464	DNAJC18	990	888	1938	1000	353	355	341	300
ENSG00000170465	KRT6C	0	0	1.141	0	0	0	43.048	15.084
ENSG00000170468	AC005280.1	666.965	347.749	722.788	794.882	102.521	482.026	797.355	888.106
ENSG00000170469	SPATA24	179	176	172	108.999	292.001	269	117	109
ENSG00000170471	RALGAPB	4496.001	4364	5423	3776.999	3501.001	4253	11063.001	10197
ENSG00000170473	WIBG	3626	3546	2690.999	2179	1894.999	2599	2161	2704.999
ENSG00000170476	MZB1	11449	12394	21.001	36	3	0	9	16
ENSG00000170477	KRT4	0	0	0	5	0	0	3460.999	494
ENSG00000170482	SLC23A1	210	257.999	0	4	1	7	3	0
ENSG00000170484	KRT74	0	0	0	0	0	0	19	9
ENSG00000170485	NPAS2	0	0	296	265	0	0	2133	1088.999
ENSG00000170486	KRT72	0	0	0	1	0	0	0	7
ENSG00000170498	KISS1	0	0	8	13	0	0	1	2
ENSG00000170500	LONRF2	4	6	223	169	1804	2471	7925	10960
ENSG00000170502	NUDT9	818.999	745.001	1265.999	750.999	1060	1267	2466.001	2469.001
ENSG00000170509	HSD17B13	4	0	12	5	20	44	32	7
ENSG00000170515	PA2G4	28773.999	28943	16874.293	9874.866	47500.762	60754	35186.825	41465.952
ENSG00000170516	COX7B2	0	0	0	0	3	1	0	0
ENSG00000170522	ELOVL6	1457	1411	7225	3972	7897	10747	2640.001	3556.001
ENSG00000170523	KRT83	0	0	1	0	0	0	496.701	494.943
ENSG00000170525	PFKFB3	2543.999	2512.999	3034.999	3543.001	1479	2229	12345.001	11017
ENSG00000170537	TMC7	0	0	532.999	382	265	332	1348.001	1067.999
ENSG00000170540	ARL6IP1	11850.406	10075.341	16193.289	7950.748	12788.97	15301.07	58260.24	47933.112
ENSG00000170542	SERPINB9	1180	782	25520	12699	4919	7482	233	253
ENSG00000170545	SMAGP	225	231.999	710.001	607.999	1633	1980	2291	1982.999
ENSG00000170549	IRX1	0	0	329	1119	0	0	0	0
ENSG00000170558	CDH2	3	0	3726	2742	0	0	12	15
ENSG00000170561	IRX2	0	0	4314.981	5932.931	0	0	2672	2280
ENSG00000170571	EMB	4733	4364.954	8079.95	3220.967	0	0	7847.995	7947
ENSG00000170577	SIX2	0	0	68	92	0	0	1526	1004
ENSG00000170579	DLGAP1	229	239	1638.002	1992.999	11	13	7	4
ENSG00000170581	STAT2	9525	8889	4566	3857	3745.001	4660	4841.002	4419.999
ENSG00000170584	NUDCD2	2936	2279	1971.001	1341.999	4609	6496	2642	2416
ENSG00000170590	LINC00266-3	0	0	0	0	0	0	0	0
ENSG00000170604	IRF2BP1	1465	1747	2231	3382	1548	2533	582	845
ENSG00000170605	OR9K2	0	0	0	2	0	0	0	0
ENSG00000170606	HSPA4	11115.999	9903	9578	7213	17495.999	21810	12436	12365
ENSG00000170608	FOXA3	5	4	5866	4180	409	676	21	20
ENSG00000170613	FAM71B	0	0	0	0	0	0	0	0
ENSG00000170615	SLC26A5	0	0	12	23	0	0	48	34
ENSG00000170616	SCRT1	0	0	33	73	12	0	0	2
ENSG00000170619	COMMD5	2068	2163.964	2906.502	2708.765	1640	2023	1287.233	1866.633
ENSG00000170624	SGCD	0	0	13	3	0	0	2	0
ENSG00000170627	GTSF1	3251	2518	15	4	11915	13165.999	0	1
ENSG00000170629	DPY19L2P2	1688	1722.999	235.88	145	23	35	156.391	272.566
ENSG00000170631	ZNF16	649.001	471	893	701.999	486	588.001	729.999	1083.999
ENSG00000170632	ARMC10	2267.99	2018.999	2439.564	1550.386	5597.246	6165.666	8081.204	6897.991
ENSG00000170633	RNF34	7519	8269	3539.001	2826.999	2938	4007	4581.001	4332.999
ENSG00000170634	ACYP2	325	313	164.999	161	82	82.999	345	291
ENSG00000170638	TRABD	10477	12369	5799	10225	5836	7465	991	1569
ENSG00000170647	TMEM133	96	87	1587	623	81	63	135	100
ENSG00000170653	ATF7	2796	2890.24	3808.988	2765	2260.001	2396	7291.616	6948
ENSG00000170667	RASA4B	1146.774	1235.743	885.922	1049.611	28.141	246.777	120.531	197.079
ENSG00000170677	SOCS6	706	664	1986	1231	701	883	2005	1663
ENSG00000170681	MURC	5	8	379.951	258	11	10	126	148
ENSG00000170683	OR10A3	0	0	0	0	0	0	0	0
ENSG00000170684	ZNF296	559	888	303	621	167	179	77	111
ENSG00000170688	OR5E1P	0	0	0	0	0	0	0	0
ENSG00000170689	HOXB9	11	7	0	0	15660	18323	336	322
ENSG00000170703	TTLL6	41	1	888.001	848	0	0	40	17
ENSG00000170727	BOP1	8521.723	10479	6416.389	10362.96	14092.001	18774.001	2522	4310
ENSG00000170734	POLH	2185	2024	763	512	2184	2184.001	1414	1806.999
ENSG00000170743	SYT9	2	0	334	250	0	0	4	4
ENSG00000170745	KCNS3	0	0	2919.999	2307	19	8	1778.999	1496
ENSG00000170748	RBMXL2	0	0	1	1	14	35	0	0
ENSG00000170759	KIF5B	7297	6532	4042	2664	10526	15151	22722	23772
ENSG00000170775	GPR37	0	0	292	534	0	5	244	162
ENSG00000170776	AKAP13	7673.001	7881.999	3407	3365.999	32	63	10616.002	9806
ENSG00000170777	TPD52L3	0	0	0	0	0	0	0	0
ENSG00000170779	CDCA4	6439	6687	10190	11195	3891	5489	5250	6491
ENSG00000170782	OR10A4	0	0	0	0	0	0	0	0
ENSG00000170786	SDR16C5	0	0	12	7	0	0	327	357.999
ENSG00000170788	DYDC1	0	0	2	3	0	0	0	0
ENSG00000170790	OR10A2	0	0	0	0	0	0	0	0
ENSG00000170791	CHCHD7	3549.003	3079.999	1450	822.001	2239	3076	2474.001	2081.999
ENSG00000170801	HTRA3	0	0	825	564	0	0	0	0
ENSG00000170802	FOXN2	2513	1830	1116	487	2078	2311	2613	2158
ENSG00000170803	OR2AG1	0	0	1	0	0	0	0	0
ENSG00000170807	LMOD2	0	0	4	2	0	0	0	0
ENSG00000170819	BFSP2	167	246	0	0	0	0	24	79
ENSG00000170820	FSHR	0	0	0	8	0	0	4	0
ENSG00000170827	CELP	0	4.182	4.1	13.192	0	0	1.81	1.322
ENSG00000170832	USP32	3213.999	3200.999	7382.624	4591.444	4878.999	6064	62438.107	66157.209
ENSG00000170835	CEL	132	92.818	269.9	351.808	56	105	183.19	153.678
ENSG00000170836	PPM1D	1247	1367	883	675	1108	1580	26355	18408
ENSG00000170837	GPR27	0	0	1906	1459	0	0	1223	1484
ENSG00000170846	AC093323.3	902	1189	1748	1323	6531	8041	4025	4480
ENSG00000170848	PSG6	0	0	0	0	0	0	0	0
ENSG00000170852	KBTBD2	2255	2034	2770	1189	4023	5050	9924	8018.001
ENSG00000170854	MINA	3433.001	3165	500	319	2923.001	2842.001	2651	2544
ENSG00000170855	TRIAP1	3134	2928	2849	1209	3412	3458	5066	4343
ENSG00000170858	LILRP2	0	3	0	0	0	0	0	1
ENSG00000170860	LSM3	4234	3563	1813	725	10035	15545	8614	8661
ENSG00000170866	LILRA3	0	1	3	2	0	0	0	0
ENSG00000170871	KIAA0232	3032	2822	2883	1753	3480	4507	5948	5654
ENSG00000170873	MTSS1	8	23	712	574	27	38	3390.001	3863.997
ENSG00000170876	TMEM43	2738	2544.98	7145	6915	5147	5666	13049	14574
ENSG00000170881	RNF139	2079	1909	3318	1782	2571	3403	14087	12900
ENSG00000170889	RPS9	98129.992	119879.869	96018.707	103078.369	72064.915	62007.966	21559.866	26102.112
ENSG00000170890	PLA2G1B	0	0	0	3	0	0	2	4
ENSG00000170891	CYTL1	0	0	426	345	0	0	0	0
ENSG00000170892	TSEN34	1586	1601	4027	3631	3179	3893	3800.001	5496.999
ENSG00000170893	TRH	0	0	2	3	0	0	6	10
ENSG00000170899	GSTA4	246.999	258	1651.999	855.999	131.999	129	293	119
ENSG00000170903	MSANTD4	1738.999	1814	1204	643.999	1215	1545	820	648
ENSG00000170906	NDUFA3	2254	3359.999	2885.999	3524	1508	1343	518	771.002
ENSG00000170909	OSCAR	22	10	130	179	10	13	24	26
ENSG00000170915	PAQR8	3123	2474	2415	2651	771	901	612	536
ENSG00000170917	NUDT6	574	419	908.001	752	631.999	812	556.999	583
ENSG00000170919	TPT1-AS1	627	816.999	814.998	844.001	145	225	297	298
ENSG00000170920	OR7G3	0	0	0	0	0	0	1	0
ENSG00000170921	TANC2	13	26	1741.001	1536.999	533	926.001	50762.002	38285.001
ENSG00000170923	OR7G2	0	0	0	0	0	0	0	0
ENSG00000170925	TEX13B	0	0	4	6	0	0	0	0
ENSG00000170927	PKHD1	11	9	63	24	8	0	10	14
ENSG00000170929	OR1M1	0	0	6	0	0	0	0	0
ENSG00000170935	NCBP2L	0	0	0	0	0	0	6	3
ENSG00000170946	DNAJC24	867.999	843.001	760	651.001	1207.001	1371.999	702	613
ENSG00000170948	MBD3L1	0	0	0	0	0	0	0	0
ENSG00000170949	ZNF160	1267.999	1119.998	2139	2072	1063	1401	5173	4622.998
ENSG00000170950	PGK2	0	0	0	0	0	0	13	10
ENSG00000170953	OR8B12	0	0	0	0	0	0	0	0
ENSG00000170954	ZNF415	0	0	518	277	0	33	47	68
ENSG00000170955	PRKCDBP	354	331	1717	1498	0	0	0	1
ENSG00000170956	CEACAM3	0	0	0	0	0	0	2.002	0
ENSG00000170959	DCDC1	0	1	20	7	0	0	15	9
ENSG00000170961	HAS2	0	0	212	98	0	0	21	35
ENSG00000170962	PDGFD	0	0	289	218	0	0	1	0
ENSG00000170965	PLAC1	0	0	103	59	62	41	20	22
ENSG00000170967	DDI1	0	0	0	0	0	0	0	0
ENSG00000170983	LINC00208	0	0	0	0	0	0	0	3
ENSG00000170989	S1PR1	3362.001	3476	733	610	32	47	0	4
ENSG00000171004	HS6ST2	0	0	693	626	0	0	1590	1191
ENSG00000171014	OR4D5	0	0	1	1	0	0	0	0
ENSG00000171016	PYGO1	0	0	156	73	0	6	987	522
ENSG00000171017	LRRC8E	5	19	598	521	297	678	653.001	795
ENSG00000171033	PKIA	587	555	1296	647	0	0	2345	3017
ENSG00000171044	XKR6	162	231	739.001	810.001	0	0	155.001	153
ENSG00000171045	TSNARE1	991	1010	1517	1940.001	664	955.999	354	467.001
ENSG00000171049	FPR2	0	0	16	3	21	11	0	1
ENSG00000171051	FPR1	0	0	5	2	38	1	0	0
ENSG00000171053	PATE1	0	0	0	0	0	0	1	0
ENSG00000171054	OR13H1	0	0	0	0	0	0	0	4
ENSG00000171055	FEZ2	538	534	838.999	495	1259	1673	5045.999	4522
ENSG00000171056	SOX7	10	0	90	172.15	31	40.553	16.996	20.763
